externalId,moldExternalId,plasticExternalId,displayName,speed,glide,turn,fade,stability,weightMin,weightMax,link,imageUrl,notes,slug
discraft-nuke-z-flx,discraft-nuke,discraft-z-flx,Z FLX Nuke,,,,,,,,,,,nuke-z-flx
discraft-nuke-z-line,discraft-nuke,discraft-z-line,Z Line Nuke,,,,,,,,,,,nuke-z-line
discraft-undertaker-big-z,discraft-undertaker,discraft-big-z,Big Z Undertaker,,,,,,,,,,,undertaker-big-z
discraft-undertaker-esp,discraft-undertaker,discraft-esp,ESP Undertaker,,,,,,,,,,,undertaker-esp
discraft-undertaker-titanium,discraft-undertaker,discraft-titanium,Titanium Undertaker,,,,,,,,,,,undertaker-titanium
discraft-undertaker-z-line,discraft-undertaker,discraft-z-line,Z Line Undertaker,,,,,,,,,,,undertaker-z-line
discraft-zone-cryztal,discraft-zone,discraft-cryztal,CryZtal Zone,,,,,,,,,,,zone-cryztal
discraft-zone-esp,discraft-zone,discraft-esp,ESP Zone,,,,,,,,,,,zone-esp
discraft-zone-jawbreaker,discraft-zone,discraft-jawbreaker,Jawbreaker Zone,,,,,,,,,,,zone-jawbreaker
discraft-zone-rubber-blend,discraft-zone,discraft-rubber-blend,Rubber Blend Zone,,,,,,,,,,,zone-rubber-blend
discraft-zone-titanium,discraft-zone,discraft-titanium,Titanium Zone,,,,,,,,,,,zone-titanium
discraft-zone-z-flx,discraft-zone,discraft-z-flx,Z FLX Zone,,,,,,,,,,,zone-z-flx
discraft-zone-z-line,discraft-zone,discraft-z-line,Z Line Zone,,,,,,,,,,,zone-z-line
dynamic-discs-emac-truth-biofuzion,dynamic-discs-emac-truth,dynamic-discs-biofuzion,BioFuzion EMac Truth,,,,,,,,,,,emac-truth-biofuzion
dynamic-discs-emac-truth-fluid,dynamic-discs-emac-truth,dynamic-discs-fluid,Fluid EMac Truth,,,,,,,,,,,emac-truth-fluid
dynamic-discs-emac-truth-fuzion,dynamic-discs-emac-truth,dynamic-discs-fuzion,Fuzion EMac Truth,,,,,,,,,,,emac-truth-fuzion
dynamic-discs-emac-truth-lucid,dynamic-discs-emac-truth,dynamic-discs-lucid,Lucid EMac Truth,,,,,,,,,,,emac-truth-lucid
dynamic-discs-emac-truth-moonshine,dynamic-discs-emac-truth,dynamic-discs-moonshine,Moonshine EMac Truth,,,,,,,,,,,emac-truth-moonshine
dynamic-discs-escape-biofuzion,dynamic-discs-escape,dynamic-discs-biofuzion,BioFuzion Escape,,,,,,,,,,,escape-biofuzion
dynamic-discs-escape-fluid,dynamic-discs-escape,dynamic-discs-fluid,Fluid Escape,,,,,,,,,,,escape-fluid
dynamic-discs-escape-fuzion,dynamic-discs-escape,dynamic-discs-fuzion,Fuzion Escape,,,,,,,,,,,escape-fuzion
dynamic-discs-escape-lucid,dynamic-discs-escape,dynamic-discs-lucid,Lucid Escape,,,,,,,,,,,escape-lucid
dynamic-discs-escape-moonshine,dynamic-discs-escape,dynamic-discs-moonshine,Moonshine Escape,,,,,,,,,,,escape-moonshine
dynamic-discs-felon-biofuzion,dynamic-discs-felon,dynamic-discs-biofuzion,BioFuzion Felon,,,,,,,,,,,felon-biofuzion
dynamic-discs-felon-fuzion,dynamic-discs-felon,dynamic-discs-fuzion,Fuzion Felon,,,,,,,,,,,felon-fuzion
dynamic-discs-felon-fuzion-x,dynamic-discs-felon,dynamic-discs-fuzion-x,Fuzion-X Felon,,,,,,,,,,,felon-fuzion-x
dynamic-discs-felon-lucid,dynamic-discs-felon,dynamic-discs-lucid,Lucid Felon,,,,,,,,,,,felon-lucid
dynamic-discs-felon-lucid-x,dynamic-discs-felon,dynamic-discs-lucid-x,Lucid-X Felon,,,,,,,,,,,felon-lucid-x
dynamic-discs-felon-moonshine,dynamic-discs-felon,dynamic-discs-moonshine,Moonshine Felon,,,,,,,,,,,felon-moonshine
dynamic-discs-judge-classic,dynamic-discs-judge,dynamic-discs-classic,Classic Judge,,,,,,,,,,,judge-classic
dynamic-discs-judge-classic-blend,dynamic-discs-judge,dynamic-discs-classic-blend,Classic Blend Judge,,,,,,,,,,,judge-classic-blend
dynamic-discs-judge-classic-soft,dynamic-discs-judge,dynamic-discs-classic-soft,Classic Soft Judge,,,,,,,,,,,judge-classic-soft
dynamic-discs-judge-fuzion,dynamic-discs-judge,dynamic-discs-fuzion,Fuzion Judge,,,,,,,,,,,judge-fuzion
dynamic-discs-judge-lucid,dynamic-discs-judge,dynamic-discs-lucid,Lucid Judge,,,,,,,,,,,judge-lucid
dynamic-discs-judge-prime,dynamic-discs-judge,dynamic-discs-prime,Prime Judge,,,,,,,,,,,judge-prime
dynamic-discs-judge-supreme,dynamic-discs-judge,dynamic-discs-supreme,Supreme Judge,,,,,,,,,,,judge-supreme
dynamic-discs-justice-fuzion,dynamic-discs-justice,dynamic-discs-fuzion,Fuzion Justice,,,,,,,,,,,justice-fuzion
dynamic-discs-justice-lucid,dynamic-discs-justice,dynamic-discs-lucid,Lucid Justice,,,,,,,,,,,justice-lucid
dynamic-discs-justice-lucid-x,dynamic-discs-justice,dynamic-discs-lucid-x,Lucid-X Justice,,,,,,,,,,,justice-lucid-x
dynamic-discs-justice-moonshine,dynamic-discs-justice,dynamic-discs-moonshine,Moonshine Justice,,,,,,,,,,,justice-moonshine
dynamic-discs-sheriff-biofuzion,dynamic-discs-sheriff,dynamic-discs-biofuzion,BioFuzion Sheriff,,,,,,,,,,,sheriff-biofuzion
dynamic-discs-sheriff-fuzion,dynamic-discs-sheriff,dynamic-discs-fuzion,Fuzion Sheriff,,,,,,,,,,,sheriff-fuzion
dynamic-discs-sheriff-lucid,dynamic-discs-sheriff,dynamic-discs-lucid,Lucid Sheriff,,,,,,,,,,,sheriff-lucid
dynamic-discs-trespass-biofuzion,dynamic-discs-trespass,dynamic-discs-biofuzion,BioFuzion Trespass,,,,,,,,,,,trespass-biofuzion
dynamic-discs-trespass-fuzion,dynamic-discs-trespass,dynamic-discs-fuzion,Fuzion Trespass,,,,,,,,,,,trespass-fuzion
dynamic-discs-trespass-lucid,dynamic-discs-trespass,dynamic-discs-lucid,Lucid Trespass,,,,,,,,,,,trespass-lucid
dynamic-discs-trespass-lucid-x,dynamic-discs-trespass,dynamic-discs-lucid-x,Lucid-X Trespass,,,,,,,,,,,trespass-lucid-x
dynamic-discs-trespass-moonshine,dynamic-discs-trespass,dynamic-discs-moonshine,Moonshine Trespass,,,,,,,,,,,trespass-moonshine
dynamic-discs-warden-classic,dynamic-discs-warden,dynamic-discs-classic,Classic Warden,,,,,,,,,,,warden-classic
dynamic-discs-warden-classic-blend,dynamic-discs-warden,dynamic-discs-classic-blend,Classic Blend Warden,,,,,,,,,,,warden-classic-blend
dynamic-discs-warden-classic-soft,dynamic-discs-warden,dynamic-discs-classic-soft,Classic Soft Warden,,,,,,,,,,,warden-classic-soft
dynamic-discs-warden-fuzion,dynamic-discs-warden,dynamic-discs-fuzion,Fuzion Warden,,,,,,,,,,,warden-fuzion
dynamic-discs-warden-lucid,dynamic-discs-warden,dynamic-discs-lucid,Lucid Warden,,,,,,,,,,,warden-lucid
dynamic-discs-warden-prime,dynamic-discs-warden,dynamic-discs-prime,Prime Warden,,,,,,,,,,,warden-prime
infinite-discs-alpaca-d-blend,infinite-discs-alpaca,infinite-d-blend,D-Blend Alpaca,,,,,,,,,,,alpaca-d-blend
infinite-discs-alpaca-g-blend,infinite-discs-alpaca,infinite-g-blend,G-Blend Alpaca,,,,,,,,,,,alpaca-g-blend
infinite-discs-alpaca-i-blend,infinite-discs-alpaca,infinite-i-blend,I-Blend Alpaca,,,,,,,,,,,alpaca-i-blend
infinite-discs-alpaca-p-blend,infinite-discs-alpaca,infinite-p-blend,P-Blend Alpaca,,,,,,,,,,,alpaca-p-blend
infinite-discs-alpaca-s-blend,infinite-discs-alpaca,infinite-s-blend,S-Blend Alpaca,,,,,,,,,,,alpaca-s-blend
infinite-discs-alpaca-x-blend,infinite-discs-alpaca,infinite-x-blend,X-Blend Alpaca,,,,,,,,,,,alpaca-x-blend
infinite-discs-centurion-c-blend,infinite-discs-centurion,infinite-c-blend,C-Blend Centurion,,,,,,,,,,,centurion-c-blend
infinite-discs-centurion-halo-s-blend,infinite-discs-centurion,infinite-halo-s-blend,Halo S-Blend Centurion,,,,,,,,,,,centurion-halo-s-blend
infinite-discs-centurion-i-blend,infinite-discs-centurion,infinite-i-blend,I-Blend Centurion,,,,,,,,,,,centurion-i-blend
infinite-discs-centurion-metal-flake-c-blend,infinite-discs-centurion,infinite-metal-flake-c-blend,Metal Flake C-Blend Centurion,,,,,,,,,,,centurion-metal-flake-c-blend
infinite-discs-centurion-s-blend,infinite-discs-centurion,infinite-s-blend,S-Blend Centurion,,,,,,,,,,,centurion-s-blend
infinite-discs-emperor-c-blend,infinite-discs-emperor,infinite-c-blend,C-Blend Emperor,,,,,,,,,,,emperor-c-blend
infinite-discs-emperor-concrete,infinite-discs-emperor,infinite-concrete,Concrete Emperor,,,,,,,,,,,emperor-concrete
infinite-discs-emperor-halo-s-blend,infinite-discs-emperor,infinite-halo-s-blend,Halo S-Blend Emperor,,,,,,,,,,,emperor-halo-s-blend
infinite-discs-emperor-i-blend,infinite-discs-emperor,infinite-i-blend,I-Blend Emperor,,,,,,,,,,,emperor-i-blend
infinite-discs-emperor-metal-flake-c-blend,infinite-discs-emperor,infinite-metal-flake-c-blend,Metal Flake C-Blend Emperor,,,,,,,,,,,emperor-metal-flake-c-blend
infinite-discs-emperor-s-blend,infinite-discs-emperor,infinite-s-blend,S-Blend Emperor,,,,,,,,,,,emperor-s-blend
infinite-discs-maya-g-blend,infinite-discs-maya,infinite-g-blend,G-Blend Maya,,,,,,,,,,,maya-g-blend
infinite-discs-maya-halo-s-blend,infinite-discs-maya,infinite-halo-s-blend,Halo S-Blend Maya,,,,,,,,,,,maya-halo-s-blend
infinite-discs-maya-i-blend,infinite-discs-maya,infinite-i-blend,I-Blend Maya,,,,,,,,,,,maya-i-blend
infinite-discs-maya-s-blend,infinite-discs-maya,infinite-s-blend,S-Blend Maya,,,,,,,,,,,maya-s-blend
infinite-discs-pharaoh-c-blend,infinite-discs-pharaoh,infinite-c-blend,C-Blend Pharaoh,,,,,,,,,,,pharaoh-c-blend
infinite-discs-pharaoh-i-blend,infinite-discs-pharaoh,infinite-i-blend,I-Blend Pharaoh,,,,,,,,,,,pharaoh-i-blend
infinite-discs-pharaoh-metal-flake-c-blend,infinite-discs-pharaoh,infinite-metal-flake-c-blend,Metal Flake C-Blend Pharaoh,,,,,,,,,,,pharaoh-metal-flake-c-blend
infinite-discs-pharaoh-s-blend,infinite-discs-pharaoh,infinite-s-blend,S-Blend Pharaoh,,,,,,,,,,,pharaoh-s-blend
infinite-discs-pharaoh-swirly-s-blend,infinite-discs-pharaoh,infinite-swirly-s-blend,Swirly S-Blend Pharaoh,,,,,,,,,,,pharaoh-swirly-s-blend
innova-aviar-champion,innova-aviar,innova-champion,Champion Aviar,,,,,,,,,,,aviar-champion
innova-aviar-dx,innova-aviar,innova-dx,DX Aviar,,,,,,,,,,,aviar-dx
innova-aviar-gstar,innova-aviar,innova-gstar,GStar Aviar,,,,,,,,,,,aviar-gstar
innova-aviar-jk-pro,innova-aviar,innova-jk-pro,JK Pro Aviar,,,,,,,,,,,aviar-jk-pro
innova-aviar-kc-pro,innova-aviar,innova-kc-pro,KC Pro Aviar,,,,,,,,,,,aviar-kc-pro
innova-aviar-nexus,innova-aviar,innova-nexus,Nexus Aviar,,,,,,,,,,,aviar-nexus
innova-aviar-r-pro,innova-aviar,innova-r-pro,R-Pro Aviar,,,,,,,,,,,aviar-r-pro
innova-aviar-star,innova-aviar,innova-star,Star Aviar,,,,,,,,,,,aviar-star
innova-aviar-xt,innova-aviar,innova-xt,XT Aviar,,,,,,,,,,,aviar-xt
innova-aviar3-champion,innova-aviar3,innova-champion,Champion Aviar3,,,,,,,,,,,aviar3-champion
innova-aviar3-dx,innova-aviar3,innova-dx,DX Aviar3,,,,,,,,,,,aviar3-dx
innova-aviar3-star,innova-aviar3,innova-star,Star Aviar3,,,,,,,,,,,aviar3-star
innova-beast-champion,innova-beast,innova-champion,Champion Beast,,,,,,,,,,,beast-champion
innova-beast-dx,innova-beast,innova-dx,DX Beast,,,,,,,,,,,beast-dx
innova-beast-gstar,innova-beast,innova-gstar,GStar Beast,,,,,,,,,,,beast-gstar
innova-beast-pro,innova-beast,innova-pro,Pro Beast,,,,,,,,,,,beast-pro
innova-beast-star,innova-beast,innova-star,Star Beast,,,,,,,,,,,beast-star
innova-boss-champion,innova-boss,innova-champion,Champion Boss,,,,,,,,,,,boss-champion
innova-boss-dx,innova-boss,innova-dx,DX Boss,,,,,,,,,,,boss-dx
innova-boss-echo-star,innova-boss,innova-echo-star,Echo Star Boss,,,,,,,,,,,boss-echo-star
innova-boss-gstar,innova-boss,innova-gstar,GStar Boss,,,,,,,,,,,boss-gstar
innova-boss-halo-star,innova-boss,innova-halo-star,Halo Star Boss,,,,,,,,,,,boss-halo-star
innova-boss-pro,innova-boss,innova-pro,Pro Boss,,,,,,,,,,,boss-pro
innova-boss-star,innova-boss,innova-star,Star Boss,,,,,,,,,,,boss-star
innova-caiman-champion,innova-caiman,innova-champion,Champion Caiman,,,,,,,,,,,caiman-champion
innova-caiman-gstar,innova-caiman,innova-gstar,GStar Caiman,,,,,,,,,,,caiman-gstar
innova-caiman-star,innova-caiman,innova-star,Star Caiman,,,,,,,,,,,caiman-star
innova-colossus-champion,innova-colossus,innova-champion,Champion Colossus,,,,,,,,,,,colossus-champion
innova-colossus-gstar,innova-colossus,innova-gstar,GStar Colossus,,,,,,,,,,,colossus-gstar
innova-colossus-star,innova-colossus,innova-star,Star Colossus,,,,,,,,,,,colossus-star
innova-dart-champion,innova-dart,innova-champion,Champion Dart,,,,,,,,,,,dart-champion
innova-dart-dx,innova-dart,innova-dx,DX Dart,,,,,,,,,,,dart-dx
innova-dart-r-pro,innova-dart,innova-r-pro,R-Pro Dart,,,,,,,,,,,dart-r-pro
innova-dart-star,innova-dart,innova-star,Star Dart,,,,,,,,,,,dart-star
innova-destroyer-champion,innova-destroyer,innova-champion,Champion Destroyer,,,,,,,,,,,destroyer-champion
innova-destroyer-dx,innova-destroyer,innova-dx,DX Destroyer,,,,,,,,,,,destroyer-dx
innova-destroyer-echo-star,innova-destroyer,innova-echo-star,Echo Star Destroyer,,,,,,,,,,,destroyer-echo-star
innova-destroyer-gstar,innova-destroyer,innova-gstar,GStar Destroyer,,,,,,,,,,,destroyer-gstar
innova-destroyer-halo-star,innova-destroyer,innova-halo-star,Halo Star Destroyer,,,,,,,,,,,destroyer-halo-star
innova-destroyer-pro,innova-destroyer,innova-pro,Pro Destroyer,,,,,,,,,,,destroyer-pro
innova-destroyer-star,innova-destroyer,innova-star,Star Destroyer,,,,,,,,,,,destroyer-star
innova-eagle-champion,innova-eagle,innova-champion,Champion Eagle,,,,,,,,,,,eagle-champion
innova-eagle-dx,innova-eagle,innova-dx,DX Eagle,,,,,,,,,,,eagle-dx
innova-eagle-gstar,innova-eagle,innova-gstar,GStar Eagle,,,,,,,,,,,eagle-gstar
innova-eagle-star,innova-eagle,innova-star,Star Eagle,,,,,,,,,,,eagle-star
innova-firebird-champion,innova-firebird,innova-champion,Champion Firebird,,,,,,,,,,,firebird-champion
innova-firebird-dx,innova-firebird,innova-dx,DX Firebird,,,,,,,,,,,firebird-dx
innova-firebird-gstar,innova-firebird,innova-gstar,GStar Firebird,,,,,,,,,,,firebird-gstar
innova-firebird-halo-star,innova-firebird,innova-halo-star,Halo Star Firebird,,,,,,,,,,,firebird-halo-star
innova-firebird-star,innova-firebird,innova-star,Star Firebird,,,,,,,,,,,firebird-star
innova-firestorm-champion,innova-firestorm,innova-champion,Champion Firestorm,,,,,,,,,,,firestorm-champion
innova-firestorm-star,innova-firestorm,innova-star,Star Firestorm,,,,,,,,,,,firestorm-star
innova-gator-champion,innova-gator,innova-champion,Champion Gator,,,,,,,,,,,gator-champion
innova-gator-dx,innova-gator,innova-dx,DX Gator,,,,,,,,,,,gator-dx
innova-gator-gstar,innova-gator,innova-gstar,GStar Gator,,,,,,,,,,,gator-gstar
innova-gator-star,innova-gator,innova-star,Star Gator,,,,,,,,,,,gator-star
innova-katana-champion,innova-katana,innova-champion,Champion Katana,,,,,,,,,,,katana-champion
innova-katana-dx,innova-katana,innova-dx,DX Katana,,,,,,,,,,,katana-dx
innova-katana-echo-star,innova-katana,innova-echo-star,Echo Star Katana,,,,,,,,,,,katana-echo-star
innova-katana-gstar,innova-katana,innova-gstar,GStar Katana,,,,,,,,,,,katana-gstar
innova-katana-pro,innova-katana,innova-pro,Pro Katana,,,,,,,,,,,katana-pro
innova-katana-star,innova-katana,innova-star,Star Katana,,,,,,,,,,,katana-star
innova-leopard-champion,innova-leopard,innova-champion,Champion Leopard,,,,,,,,,,,leopard-champion
innova-leopard-dx,innova-leopard,innova-dx,DX Leopard,,,,,,,,,,,leopard-dx
innova-leopard-echo-star,innova-leopard,innova-echo-star,Echo Star Leopard,,,,,,,,,,,leopard-echo-star
innova-leopard-gstar,innova-leopard,innova-gstar,GStar Leopard,,,,,,,,,,,leopard-gstar
innova-leopard-pro,innova-leopard,innova-pro,Pro Leopard,,,,,,,,,,,leopard-pro
innova-leopard-star,innova-leopard,innova-star,Star Leopard,,,,,,,,,,,leopard-star
innova-leopard3-champion,innova-leopard3,innova-champion,Champion Leopard3,,,,,,,,,,,leopard3-champion
innova-leopard3-dx,innova-leopard3,innova-dx,DX Leopard3,,,,,,,,,,,leopard3-dx
innova-leopard3-gstar,innova-leopard3,innova-gstar,GStar Leopard3,,,,,,,,,,,leopard3-gstar
innova-leopard3-halo-star,innova-leopard3,innova-halo-star,Halo Star Leopard3,,,,,,,,,,,leopard3-halo-star
innova-leopard3-star,innova-leopard3,innova-star,Star Leopard3,,,,,,,,,,,leopard3-star
innova-mako3-champion,innova-mako3,innova-champion,Champion Mako3,,,,,,,,,,,mako3-champion
innova-mako3-dx,innova-mako3,innova-dx,DX Mako3,,,,,,,,,,,mako3-dx
innova-mako3-gstar,innova-mako3,innova-gstar,GStar Mako3,,,,,,,,,,,mako3-gstar
innova-mako3-halo-star,innova-mako3,innova-halo-star,Halo Star Mako3,,,,,,,,,,,mako3-halo-star
innova-mako3-star,innova-mako3,innova-star,Star Mako3,,,,,,,,,,,mako3-star
innova-mamba-champion,innova-mamba,innova-champion,Champion Mamba,,,,,,,,,,,mamba-champion
innova-mamba-dx,innova-mamba,innova-dx,DX Mamba,,,,,,,,,,,mamba-dx
innova-mamba-gstar,innova-mamba,innova-gstar,GStar Mamba,,,,,,,,,,,mamba-gstar
innova-mamba-halo-star,innova-mamba,innova-halo-star,Halo Star Mamba,,,,,,,,,,,mamba-halo-star
innova-mamba-star,innova-mamba,innova-star,Star Mamba,,,,,,,,,,,mamba-star
innova-nova-xt,innova-nova,innova-xt,XT Nova,,,,,,,,,,,nova-xt
innova-orc-champion,innova-orc,innova-champion,Champion Orc,,,,,,,,,,,orc-champion
innova-orc-dx,innova-orc,innova-dx,DX Orc,,,,,,,,,,,orc-dx
innova-orc-gstar,innova-orc,innova-gstar,GStar Orc,,,,,,,,,,,orc-gstar
innova-orc-pro,innova-orc,innova-pro,Pro Orc,,,,,,,,,,,orc-pro
innova-orc-star,innova-orc,innova-star,Star Orc,,,,,,,,,,,orc-star
innova-pig-dx,innova-pig,innova-dx,DX Pig,,,,,,,,,,,pig-dx
innova-pig-pro,innova-pig,innova-pro,Pro Pig,,,,,,,,,,,pig-pro
innova-pig-r-pro,innova-pig,innova-r-pro,R-Pro Pig,,,,,,,,,,,pig-r-pro
innova-pig-star,innova-pig,innova-star,Star Pig,,,,,,,,,,,pig-star
innova-rhyno-champion,innova-rhyno,innova-champion,Champion Rhyno,,,,,,,,,,,rhyno-champion
innova-rhyno-dx,innova-rhyno,innova-dx,DX Rhyno,,,,,,,,,,,rhyno-dx
innova-rhyno-gstar,innova-rhyno,innova-gstar,GStar Rhyno,,,,,,,,,,,rhyno-gstar
innova-rhyno-pro,innova-rhyno,innova-pro,Pro Rhyno,,,,,,,,,,,rhyno-pro
innova-rhyno-r-pro,innova-rhyno,innova-r-pro,R-Pro Rhyno,,,,,,,,,,,rhyno-r-pro
innova-rhyno-star,innova-rhyno,innova-star,Star Rhyno,,,,,,,,,,,rhyno-star
innova-roadrunner-champion,innova-roadrunner,innova-champion,Champion Roadrunner,,,,,,,,,,,roadrunner-champion
innova-roadrunner-dx,innova-roadrunner,innova-dx,DX Roadrunner,,,,,,,,,,,roadrunner-dx
innova-roadrunner-gstar,innova-roadrunner,innova-gstar,GStar Roadrunner,,,,,,,,,,,roadrunner-gstar
innova-roadrunner-halo-star,innova-roadrunner,innova-halo-star,Halo Star Roadrunner,,,,,,,,,,,roadrunner-halo-star
innova-roadrunner-star,innova-roadrunner,innova-star,Star Roadrunner,,,,,,,,,,,roadrunner-star
innova-roc-champion,innova-roc,innova-champion,Champion Roc,,,,,,,,,,,roc-champion
innova-roc-dx,innova-roc,innova-dx,DX Roc,,,,,,,,,,,roc-dx
innova-roc-gstar,innova-roc,innova-gstar,GStar Roc,,,,,,,,,,,roc-gstar
innova-roc-kc-pro,innova-roc,innova-kc-pro,KC Pro Roc,,,,,,,,,,,roc-kc-pro
innova-roc-star,innova-roc,innova-star,Star Roc,,,,,,,,,,,roc-star
innova-roc3-champion,innova-roc3,innova-champion,Champion Roc3,,,,,,,,,,,roc3-champion
innova-roc3-dx,innova-roc3,innova-dx,DX Roc3,,,,,,,,,,,roc3-dx
innova-roc3-gstar,innova-roc3,innova-gstar,GStar Roc3,,,,,,,,,,,roc3-gstar
innova-roc3-star,innova-roc3,innova-star,Star Roc3,,,,,,,,,,,roc3-star
innova-shark-champion,innova-shark,innova-champion,Champion Shark,,,,,,,,,,,shark-champion
innova-shark-dx,innova-shark,innova-dx,DX Shark,,,,,,,,,,,shark-dx
innova-shark-gstar,innova-shark,innova-gstar,GStar Shark,,,,,,,,,,,shark-gstar
innova-shark-star,innova-shark,innova-star,Star Shark,,,,,,,,,,,shark-star
innova-shryke-champion,innova-shryke,innova-champion,Champion Shryke,,,,,,,,,,,shryke-champion
innova-shryke-gstar,innova-shryke,innova-gstar,GStar Shryke,,,,,,,,,,,shryke-gstar
innova-shryke-halo-star,innova-shryke,innova-halo-star,Halo Star Shryke,,,,,,,,,,,shryke-halo-star
innova-shryke-star,innova-shryke,innova-star,Star Shryke,,,,,,,,,,,shryke-star
innova-sidewinder-champion,innova-sidewinder,innova-champion,Champion Sidewinder,,,,,,,,,,,sidewinder-champion
innova-sidewinder-dx,innova-sidewinder,innova-dx,DX Sidewinder,,,,,,,,,,,sidewinder-dx
