externalId,name,brand,plasticFamily,stiffness,grip,durability,slug
mvp-proton,Proton,MVP Disc Sports,premium,high,medium,very-high,proton
mvp-r2-neutron,R2 Neutron,MVP Disc Sports,premium,medium,medium,high,r2-neutron
prodigy-200,200,Prodigy Disc,base,medium,high,low,200
prodigy-300,300,Prodigy Disc,base,medium,very-high,low,300
prodigy-300-soft,300 Soft,Prodigy Disc,base,low,very-high,low,300-soft
prodigy-350g,350G,Prodigy Disc,base,high,high,medium,350g
prodigy-400,400,Prodigy Disc,premium,medium,high,high,400
prodigy-400g,400G,Prodigy Disc,premium,medium,high,high,400g
prodigy-500,500,Prodigy Disc,premium,high,high,very-high,500
prodigy-750,750,Prodigy Disc,premium,very-high,medium,very-high,750
prodigy-750g,750G,Prodigy Disc,premium,very-high,high,very-high,750g
prodigy-air,Air,Prodigy Disc,premium,medium,medium,high,air
prodigy-basegrip,BaseGrip,Prodigy Disc,base,medium,high,low,basegrip
prodigy-duraflex,DuraFlex,Prodigy Disc,premium,medium,medium,high,duraflex
prodigy-glow,Glow,Prodigy Disc,premium,high,medium,very-high,glow
